gene,sample_A,sample_B,sample_C
CER_0071935,82.042,70.383,74.115
CER_0071936,0.761,37.464,22.394
CER_0072014,28.36,87.961,26.45
CER_0072960,83.848,79.514,41.472
CER_0072961,24.155,90.019,41.456
CER_0073004,1.553,15.338,37.441
CER_0073097,81.671,82.003,59.995
CER_0073098,33.509,95.916,99.283
CER_0073117,24.183,97.349,19.266
CER_0073118,64.443,82.855,80.133
CER_0073119,57.785,12.887,63.627
CER_0073193,97.736,17.372,90.417
CER_0073593,51.728,43.74,9.958
CER_0073594,80.117,50.426,63.144
CER_0073595,78.428,84.303,62.732
CER_0073596,26.023,55.291,94.87
CER_0074068,20.376,9.327,43.742
CER_0074069,62.889,59.329,2.782
CER_0074070,70.758,92.059,7.877
CER_0074310,38.24,74.234,13.055
CER_0074476,45.371,63.15,35.812
CER_0074477,23.972,89.791,29.692
CER_0074554,53.542,24.525,78.003
CER_0074555,78.605,77.039,65.926
CER_0074765,27.496,93.498,62.744
CER_0074766,63.839,57.935,10.342
CER_0074767,45.913,59.589,10.708
CER_0075172,28.246,89.46,9.278
CER_0075173,49.425,36.14,83.832
CHL_0000094,39.08,49.104,2.196
CHL_0000095,7.358,95.922,7.631
CHL_0000333,68.734,37.525,31.358
CHL_0000558,90.83,80.855,17.981
CHL_0000611,1.014,17.868,56.729
CHL_0000624,60.665,3.145,97.592
CHL_0000625,99.374,48.391,61.4
CHL_0001160,54.648,15.839,74.17
CHL_0001508,92.658,19.285,2.956
CHL_0001567,2.304,51.174,15.235
CHL_0001621,86.687,11.479,21.696
CHL_0002015,32.754,21.976,72.774
CHL_0002140,93.985,26.759,48.157
CHL_0002245,95.323,34.855,55.15
CHL_0002250,29.432,74.519,49.58
CHL_0002558,51.266,39.994,19.305
CHL_0002622,17.296,68.706,88.731
CHL_0002665,28.108,39.283,58.365
CHL_0002757,76.645,31.159,79.41
CHL_0002780,95.376,48.783,88.286
CHL_0002793,42.374,74.708,81.589
CHL_0002957,62.291,60.73,42.931
CHL_0003051,56.714,37.396,63.27
CHL_0003136,6.427,16.725,3.376
CHL_0003149,51.136,58.687,29.347
CHL_0003185,82.669,64.51,96.515
CHL_0003403,35.225,2.994,17.99
CHL_0003446,32.268,79.09,35.774
CHL_0004039,7.264,65.695,37.196
CHL_0004222,77.951,12.23,31.859
CHL_0004281,1.09,32.887,46.538
CHL_0004292,79.524,89.874,56.164
CHL_0004706,38.559,60.18,52.726
CHL_0005276,10.292,27.805,60.79
CHL_0005283,88.336,85.991,7.482
CHL_0005284,89.266,42.175,75.62
CHL_0005438,31.778,32.012,19.712
CHL_0005560,80.273,49.865,99.026
CHL_0005561,42.124,12.409,17.114
CHL_0005595,32.687,38.286,57.641
CHL_0005781,28.504,64.367,85.61
CHL_0005938,98.795,91.164,28.437
CHL_0005946,84.164,40.281,89.583
CHL_0006169,91.803,3.912,64.478
CHL_0006436,6.945,9.512,80.251
CHL_0006814,72.325,27.467,75.369
CHL_0006916,40.034,55.645,31.317
CHL_0006950,61.232,39.333,69.646
CHL_0007019,45.458,84.867,96.715
CHL_0007206,12.141,37.391,61.798
CHL_0007207,2.929,4.783,1.04
CHL_0007233,10.514,32.286,68.76
CHL_0007234,43.568,17.019,19.116
CHL_0007473,90.228,36.888,90.288
CHL_0007578,98.957,93.411,86.801
CHL_0007815,25.969,78.494,11.08
CHL_0008173,94.714,7.504,32.933
CHL_0008396,61.275,81.249,26.991
CHL_0008411,17.034,13.776,46.069
CHL_0008542,12.629,86.189,75.303
CHL_0008557,88.78,96.584,41.329
CHL_0008747,44.678,12.237,52.759
CHL_0008883,57.788,66.127,97.635
CHL_0009078,32.191,73.086,22.583
CHL_0009190,26.381,29.623,8.279
CHL_0009238,55.852,87.287,65.948
CHL_0009254,73.527,20.589,7.802
CHL_0009944,97.177,6.027,1.313
CHL_0009945,21.614,81.851,18.792
CHL_0009956,10.453,20.866,59.052
CHL_0010313,52.764,85.846,76.049
CHL_0010538,31.183,45.402,15.4
CHL_0010618,50.451,91.413,21.878
CHL_0010822,36.364,97.506,86.786
CHL_0010851,51.346,78.002,18.795
CHL_0010937,27.784,16.42,30.715
CHL_0011131,86.983,64.838,14.729
CHL_0011132,87.62,74.503,24.056
CHL_0011503,89.41,18.703,2.859
CHL_0011605,66.189,45.264,26.558
CHL_0012304,92.693,8.407,43.147
CHL_0012432,15.062,50.219,50.793
CHL_0012675,5.316,27.259,9.781
CHL_0012708,64.862,73.2,42.259
CHL_0012860,29.401,40.269,59.405
CHL_0012870,52.956,49.362,43.357
CHL_0012957,68.116,64.634,95.897
CHL_0013219,21.958,5.314,3.569
CHL_0013363,26.618,6.585,10.103
CHL_0013755,22.647,62.022,71.582
CHL_0013883,39.191,10.13,73.392
CHL_0013884,87.953,26.827,20.571
CHL_0013885,78.573,34.763,28.799
CHL_0013886,59.631,73.388,9.424
CHL_0013949,50.324,70.047,47.676
CHL_0014142,30.532,90.667,23.862
CHL_0014164,31.511,6.945,18.734
CHL_0014243,89.987,14.183,1.273
CHL_0014288,47.46,33.405,17.752
CHL_0014446,26.383,7.698,67.92
CHL_0015165,85.309,59.401,96.954
CHL_0015283,58.316,48.831,24.751
CHL_0015284,10.939,81.893,56.727
CHL_0015781,99.041,83.536,52.527
CHL_0015902,16.73,14.658,9.391
CHL_0016270,30.46,73.619,45.262
CHL_0016309,73.482,98.979,25.734
CHL_0016361,48.649,36.429,1.356
CHL_0016615,35.263,71.016,89.137
CHL_0016869,77.453,85.696,90.217
CHL_0017017,59.574,11.276,68.578
CHL_0017523,72.822,2.073,97.864
CHL_0017552,85.627,65.937,14.163
CHL_0017795,49.783,24.437,74.101
CHL_0017926,97.329,35.942,74.437
CHL_0018025,19.384,95.481,63.873
CHL_0018106,96.545,87.714,67.88
CHL_0018125,89.922,44.927,95.831
CHL_0018315,52.691,26.531,67.907
CHL_0018445,88.799,39.103,41.729
CHL_0018532,99.394,30.932,4.11
CHL_0018628,52.008,34.327,61.237
CHL_0018660,43.346,45.503,96.815
CHL_0018866,79.234,28.841,96.947
CHL_0018967,49.893,68.553,46.632
CHL_0018972,15.023,96.667,62.38
CHL_0019099,66.432,30.365,28.826
CHL_0019117,79.979,1.559,4.095
CHL_0019314,28.302,59.307,5.319
CIN_0000074,30.582,43.032,66.025
CIN_0000087,0.064,25.143,35.022
CIN_0000187,28.327,85.901,66.533
CIN_0000195,76.889,15.504,8.6
CIN_0000229,27.067,99.591,19.673
CIN_0000234,58.522,8.072,21.886
CIN_0000249,47.318,35.463,81.171
CIN_0000382,63.704,42.256,96.691
CIN_0000537,9.814,26.126,30.202
CIN_0000633,31.074,56.391,67.892
CIN_0000692,32.248,57.817,68.332
CIN_0000762,19.951,13.569,55.428
CIN_0000808,30.106,8.56,56.667
CIN_0001090,62.832,54.583,37.597
CIN_0001107,87.592,43.689,13.861
CIN_0001117,44.19,31.326,93.488
CIN_0001200,71.26,46.838,42.767
CIN_0001286,42.051,41.026,2.767
CIN_0001640,55.891,95.749,42.092
CIN_0001820,75.586,61.521,30.239
CIN_0001893,24.265,51.221,12.727
CIN_0001922,54.327,56.557,29.334
CIN_0002253,75.534,39.266,40.294
CIN_0002375,0.595,80.748,87.491
CIN_0002545,46.022,5.435,5.469
CIN_0002572,82.989,64.988,33.348
CIN_0002650,9.74,29.058,48.147
CIN_0002697,33.131,6.086,74.047
CIN_0002746,67.441,73.936,5.302
CIN_0002763,20.506,14.415,74.042
CIN_0002842,49.53,22.354,67.568
CIN_0002847,85.226,30.089,31.089
CIN_0003013,98.916,0.645,48.496
CIN_0003059,68.777,11.471,0.004
CIN_0003084,60.379,12.103,9.686
CIN_0003269,20.429,47.374,83.273
CIN_0003305,44.382,5.565,12.181
CIN_0003389,40.456,98.27,82.027
CIN_0003513,84.172,54.672,82.169
CIN_0003999,68.132,85.931,61.716
CIN_0004161,43.235,63.62,18.481
CIN_0004338,81.855,65.747,17.078
CIN_0004558,74.166,54.668,47.616
CIN_0004674,29.004,66.754,95.909
CIN_0004726,49.296,66.77,39.119
CIN_0004920,69.765,10.734,41.69
CIN_0004991,42.483,2.797,45.708
CIN_0005216,56.421,1.102,30.276
CIN_0005218,64.511,89.322,61.988
CIN_0005520,4.263,90.706,96.28
CIN_0005538,46.791,72.307,27.69
CIN_0005748,98.175,35.775,85.584
CIN_0005794,50.321,34.883,70.622
CIN_0005923,39.062,6.277,65.592
CIN_0006269,35.187,71.921,33.929
CIN_0006482,71.518,78.67,27.834
CIN_0006749,76.261,30.293,39.393
CIN_0006824,91.616,64.513,37.652
CIN_0006835,47.175,65.897,57.604
CIN_0006889,92.741,77.54,52.543
CIN_0006903,12.942,32.408,95.519
CIN_0007634,34.81,61.748,40.377
CIN_0008002,4.493,85.203,15.918
CIN_0008050,9.654,10.622,93.423
CIN_0008164,47.641,75.991,98.133
CIN_0008453,80.856,73.265,23.662
CIN_0008460,89.979,17.4,89.247
CIN_0008473,75.581,42.006,6.437
CIN_0008476,61.19,11.447,84.68
CIN_0008506,7.288,76.335,60.653
CIN_0008519,84.068,92.355,32.116
CIN_0008597,69.873,37.763,98.887
CIN_0008601,57.378,19.973,25.249
CIN_0008721,43.751,28.609,20.119
CIN_0008851,16.209,81.384,80.867
CIN_0008919,19.23,58.211,62.912
CIN_0008922,66.866,20.354,81.001
CIN_0009048,89.329,35.956,40.803
CIN_0009183,54.658,7.197,18.53
CIN_0009283,72.998,91.099,64.223
CIN_0009706,49.618,83.24,57.037
CIN_0009746,47.373,35.211,61.848
CIN_0010005,55.87,13.787,6.715
CIN_0010104,42.751,37.612,7.087
CIN_0010161,7.814,78.239,29.823
CIN_0010409,11.793,23.057,60.149
CIN_0010419,33.092,22.402,94.062
CIN_0010428,92.227,25.138,70.327
CIN_0010442,6.795,87.147,96.811
CIN_0010443,7.478,57.536,85.32
CIN_0010569,93.181,50.005,39.922
CIN_0010612,5.665,69.752,11.087
CIN_0010654,47.098,91.739,26.305
CIN_0010745,2.998,33.805,26.088
CIN_0010758,33.454,76.474,13.929
CIN_0010795,54.709,73.387,92.417
CIN_0010801,66.334,87.827,23.562
CIN_0010934,7.291,94.8,90.432
CIN_0010961,70.309,76.557,3.536
CIN_0010968,98.106,94.991,59.815
CIN_0011033,61.243,8.059,55.143
CIN_0011180,94.66,27.051,4.174
CIN_0011235,3.56,50.76,65.034
CIN_0011275,43.152,30.342,84.983
CIN_0011341,97.147,2.144,5.536
CIN_0011467,77.361,81.136,53.419
CIN_0011551,86.029,68.194,73.792
CIN_0011669,55.25,5.214,76.568
CIN_0011782,69.544,42.972,42.683
CIN_0011912,13.777,43.795,89.715
CIN_0012116,98.253,36.771,19.365
CIN_0012313,43.652,5.792,23.203
CIN_0012505,58.862,22.713,74.748
CIN_0012540,88.834,79.318,56.805
CIN_0012584,99.094,1.49,71.983
CIN_0012606,81.262,7.661,12.672
CIN_0012694,18.059,4.372,34.967
CIN_0012750,65.521,24.424,29.241
CIN_0012774,60.612,47.87,12.238
CIN_0012776,7.68,25.02,54.365
CIN_0012803,49.493,73.522,35.696
CIN_0012908,91.51,22.029,71.313
CIN_0012921,94.143,78.021,29.268
CIN_0012935,65.364,52.684,26.754
CIN_0013100,69.777,50.345,5.4
CIN_0013153,90.043,70.55,62.187
CIN_0013310,27.978,20.355,13.713
CIN_0013384,97.594,23.054,74.191
CIN_0013614,21.077,37.239,81.638
CIN_0013617,14.196,97.791,69.834
CIN_0013621,64.991,45.376,11.424
CIN_0013645,49.891,3.376,27.797
CIN_0013848,38.418,82.718,8.449
CIN_0014058,27.909,60.975,49.536
CIN_0014172,86.277,38.466,4.442
CIN_0014259,20.573,18.443,43.108
CIN_0014370,5.226,30.515,54.155
CIN_0014395,34.78,2.599,60.874
CIN_0014476,89.317,92.27,90.745
CIN_0014522,81.024,59.096,75.725
CIN_0014728,34.094,82.924,43.408
CIN_0015048,42.755,72.923,73.541
CIN_0015130,5.712,10.921,38.811
CIN_0015138,72.13,67.797,85.851
CIN_0015242,93.798,46.35,57.26
CIN_0015413,56.83,51.891,16.255
CIN_0015444,38.129,74.563,92.466
CIN_0015476,13.187,1.518,79.959
CIN_0015521,95.097,8.554,24.993
CIN_0015577,54.28,33.753,39.46
CIN_0015609,61.555,36.169,65.923
CIN_0015812,78.243,81.026,60.8
CIN_0015920,12.431,56.844,32.099
CIN_0016040,26.452,17.878,46.272
CIN_0016102,43.991,46.644,96.589
CIN_0016117,48.021,84.433,21.784
CIN_0016191,5.858,93.883,27.645
CIN_0016362,61.033,31.403,6.404
CIN_0016385,17.98,76.598,27.614
CIN_0016391,86.906,12.722,63.034
CIN_0016417,14.69,61.795,4.958
CIN_0016464,11.445,3.85,68.444
CIN_0016620,86.057,57.989,4.196
CIN_0016645,71.736,6.081,71.455
CIN_0016747,25.905,25.745,67.839
CIN_0016802,85.749,35.334,71.832
CIN_0016838,60.058,34.973,7.748
CIN_0016993,44.381,51.104,23.698
CIN_0017069,32.579,37.136,82.269
CIN_0017271,41.597,64.189,87.585
CIN_0017309,14.308,32.654,78.816
CIN_0017325,33.499,40.814,65.198
CIN_0017357,47.069,97.35,62.192
CIN_0017466,16.031,4.461,93.031
CIN_0017672,91.187,2.554,60.904
CIN_0017704,80.803,51.08,78.087
CIN_0017783,50.818,58.149,34.405
CIN_0017827,21.487,83.073,3.26
CIN_0018131,72.626,38.109,99.782
CIN_0018199,7.844,7.731,93.552
CIN_0018211,22.458,50.35,57.444
CIN_0018239,54.823,41.808,73.305
CIN_0018278,84.76,52.776,5.143
CIN_0018289,47.233,52.445,44.102
CIN_0018377,26.918,83.601,29.307
CIN_0018583,24.403,24.307,76.764
CIN_0018594,36.196,45.582,74.819
CIN_0018833,11.542,24.105,73.28
CIN_0018841,88.023,36.188,35.198
CIN_0019020,50.564,91.464,65.333
CIN_0019272,60.522,44.897,41.885
CIN_0019302,56.934,82.678,12.528
CIN_0019437,53.762,77.645,40.762
CIN_0019516,58.476,13.814,26.028
CIN_0019562,28.689,31.384,8.151
CIN_0019601,42.102,98.325,57.601
CIN_0019633,63.263,77.264,89.987
CIN_0019842,87.641,1.551,12.079
CIN_0020009,26.338,55.458,93.013
CIN_0020090,74.285,12.64,3.408
CIN_0020194,43.142,69.005,98.993
CIN_0020252,13.238,86.688,91.862
CIN_0020388,90.426,35.437,40.232
CIN_0020578,55.694,71.198,11.903
CIN_0020742,89.743,89.835,59.148
CIN_0020810,61.663,99.413,4.524
CIN_0020876,73.875,35.496,44.89
CIN_0020928,40.887,44.975,83.48
CIN_0020976,28.929,47.711,13.461
CIN_0021197,18.345,76.596,91.634
CIN_0021237,93.662,8.379,89.56
CIN_0021266,59.355,36.987,64.94
CIN_0021277,37.937,43.859,50.867
CIN_0021281,58.808,94.477,9.69
CIN_0021371,29.735,34.112,56.413
CIN_0021722,89.73,57.983,84.407
CIN_0021903,42.669,32.28,31.858
CIN_0022203,17.842,14.32,81.399
CIN_0022259,73.463,98.921,21.068
CIN_0022660,51.913,57.514,61.548
CIN_0022713,9.947,28.479,11.855
CIN_0022730,27.385,43.892,88.535
CIN_0022767,28.848,91.769,98.881
CIN_0022850,75.347,92.452,66.643
CIN_0022968,14.1,20.684,83.879
CIN_0022992,75.486,2.735,90.254
CIN_0023037,95.986,53.983,79.899
CIN_0023138,0.667,83.25,2.578
CIN_0023254,20.314,94.181,57.117
CIN_0023295,73.209,52.089,83.104
CIN_0023363,29.494,10.961,70.632
CIN_0023371,84.474,44.441,43.227
CIN_0023377,26.306,86.45,99.308
CIN_0023544,73.163,11.646,35.372
CIN_0023563,7.907,79.332,72.736
CIN_0023576,32.712,50.706,27.611
CIN_0023592,63.062,51.284,77.705
CIN_0023750,70.681,31.481,92.473
CIN_0023796,43.338,93.237,79.42
CIN_0023866,31.753,84.143,66.113
CIN_0023940,87.757,3.564,63.45
CIN_0024197,0.797,13.687,37.621
CIN_0024323,94.316,67.335,26.529
CIN_0024327,15.143,81.387,73.356
CIN_0024449,28.26,19.857,87.586
CIN_0024523,95.083,85.716,74.945
CIN_0024675,0.32,6.726,55.774
CIN_0024691,20.855,17.812,41.816
CIN_0024796,26.307,38.029,58.39
CIN_0024981,63.771,48.423,65.694
CIN_0025083,18.006,30.01,23.189
CIN_0025285,29.212,48.506,79.675
CIN_0025577,39.221,35.713,48.096
CIN_0025636,9.653,11.237,88.09
CIN_0025675,75.496,28.727,96.936
CIN_0026086,32.54,66.242,11.582
CIN_0026388,46.474,31.891,11.354
CIN_0026417,69.697,70.482,77.368
CIN_0026445,48.374,80.472,48.917
CIN_0026507,41.2,23.486,29.093
CIN_0026517,50.749,88.981,78.283
CIN_0026561,6.08,77.18,26.161
CIN_0026593,31.762,39.138,44.195
CIN_0026740,39.868,91.237,26.832
CIN_0026995,72.819,33.984,81.852
CIN_0027033,30.851,40.981,57.251
CIN_0027098,16.654,20.62,62.529
CIN_0027206,94.788,61.33,32.968
CIN_0027247,60.496,1.992,72.223
CIN_0027299,80.241,9.025,70.473
CIN_0027348,91.223,76.684,55.289
CIN_0027468,65.493,51.865,36.21
CIN_0027592,19.844,15.699,53.57
CIN_0027662,85.972,22.933,80.129
CIN_0027704,91.065,33.15,21.562
CIN_0027743,73.333,94.001,3.607
CIN_0027827,2.003,94.036,10.252
COF_0000014,39.794,48.49,15.695
COF_0000520,30.147,23.001,77.241
COF_0000530,24.731,27.246,12.364
COF_0000674,78.405,65.528,13.119
COF_0000785,74.053,27.0,8.492
COF_0001079,7.389,72.211,76.239
COF_0001148,41.538,1.474,83.025
COF_0001151,60.487,15.185,73.587
COF_0001237,79.262,19.428,60.569
COF_0001258,31.219,32.373,51.236
COF_0001369,2.343,27.405,20.267
COF_0001482,26.427,65.605,47.14
COF_0001500,29.124,9.306,96.689
COF_0001562,56.1,48.335,90.767
COF_0001577,53.32,24.461,1.721
COF_0001870,49.703,39.365,37.274
COF_0001972,54.658,10.83,22.406
COF_0001994,97.519,39.735,23.212
COF_0002083,36.982,56.315,64.282
COF_0002122,33.244,80.968,97.582
COF_0002148,9.539,16.926,86.483
COF_0002180,48.981,24.997,14.133
COF_0002212,61.649,47.351,72.303
COF_0002240,56.664,23.243,76.741
COF_0002261,25.202,31.145,33.787
COF_0002339,15.061,32.144,56.531
COF_0002484,40.653,0.557,69.04
COF_0002585,75.504,79.47,54.559
COF_0002692,31.302,65.201,32.184
COF_0002728,70.887,51.443,85.865
COF_0002769,99.276,8.143,10.504
COF_0002784,69.926,37.569,75.689
COF_0002795,16.209,74.815,16.62
COF_0002796,43.76,97.192,3.906
COF_0002945,42.418,17.072,80.315
COF_0003037,48.719,74.899,54.709
COF_0003393,39.941,29.675,43.548
COF_0003401,29.422,92.197,67.668
COF_0003795,52.248,61.51,37.163
COF_0003877,65.022,14.152,52.325
COF_0003906,20.446,61.4,71.447
COF_0003959,51.938,25.124,46.288
COF_0004115,93.62,92.708,72.013
COF_0004182,85.24,13.534,52.438
COF_0004205,82.941,0.982,41.63
COF_0004236,15.035,6.705,97.698
COF_0004302,31.184,18.767,69.405
COF_0004512,53.773,33.104,6.111
COF_0004513,46.869,15.645,35.045
COF_0004515,55.916,22.603,62.882
COF_0004516,92.788,27.458,82.075
COF_0004786,86.809,58.447,30.575
COF_0004902,62.45,40.327,25.475
COF_0005031,54.102,65.937,7.748
COF_0005056,15.242,73.066,27.999
COF_0005270,26.294,10.232,79.688
COF_0005365,58.732,76.605,33.016
COF_0005366,77.198,59.217,27.724
COF_0005469,80.73,87.134,66.85
COF_0005538,47.341,16.81,78.336
COF_0005675,98.909,9.134,80.335
COF_0005834,14.649,16.482,87.461
COF_0006148,32.334,89.595,5.219
COF_0006313,51.171,43.969,66.484
COF_0006412,32.709,50.038,11.73
COF_0006429,56.015,37.731,38.553
COF_0006717,47.448,31.176,52.199
COF_0006741,53.069,88.329,84.219
COF_0006915,95.536,94.549,83.36
COF_0006970,71.135,83.988,56.049
COF_0007328,49.009,78.897,68.537
COF_0007330,55.791,43.541,34.818
COF_0007638,2.53,36.569,46.608
COF_0008013,67.004,72.849,21.378
COF_0008157,55.979,99.79,93.941
COF_0008342,38.246,17.901,74.763
COF_0008621,1.067,44.208,52.6
COF_0008716,0.561,31.039,9.411
COF_0008718,36.887,25.376,92.156
COF_0008720,60.677,3.353,27.495
COF_0008722,47.873,4.392,69.55
COF_0008729,25.304,62.527,97.114
COF_0008763,82.333,86.319,92.757
COF_0008818,99.723,63.224,49.03
COF_0008831,47.345,87.494,75.059
COF_0008846,80.743,3.819,2.884
COF_0009246,89.427,15.319,73.62
COF_0009281,87.091,13.165,41.957
COF_0009319,84.58,5.605,63.748
COF_0009442,6.233,9.748,54.408
COF_0009443,98.34,19.418,61.4
COF_0009619,1.667,83.727,84.823
COF_0009662,31.648,70.931,90.572
COF_0009681,58.685,94.43,51.634
COF_0009776,94.055,40.317,83.772
COF_0009777,66.964,6.495,82.505
COF_0009790,50.153,72.896,8.397
COF_0009867,44.34,27.553,19.868
COF_0009911,50.547,17.297,74.683
COF_0009925,83.786,0.322,27.376
COF_0010038,35.068,34.145,56.817
COF_0010088,69.629,56.619,46.301
COF_0010418,11.626,9.056,72.955
COF_0010675,18.566,59.115,96.577
COF_0011204,76.672,78.874,21.753
COF_0011211,37.453,8.127,72.428
COF_0011327,24.673,83.731,64.232
COF_0011421,90.148,19.109,75.583
COF_0011449,13.273,5.334,70.591
COF_0011465,17.8,14.043,31.554
COF_0011485,22.596,18.825,88.357
COF_0011493,17.711,29.493,69.756
COF_0011531,26.455,48.989,57.87
COF_0011532,34.886,64.183,44.967
COF_0011646,63.103,83.173,3.673
COF_0011673,83.472,38.568,53.795
COF_0011800,21.066,70.219,34.692
COF_0011831,81.091,79.627,20.745
COF_0011879,69.965,50.377,82.986
COF_0011914,79.43,9.076,77.341
COF_0012020,25.821,46.769,3.145
COF_0012125,11.53,65.833,18.643
COF_0012126,13.982,58.682,37.228
COF_0012138,37.791,58.839,3.385
COF_0012196,70.129,62.947,86.933
COF_0012393,0.79,42.141,33.471
COF_0012394,64.788,10.021,91.315
COF_0012395,30.628,46.684,18.616
COF_0012406,2.175,80.922,45.645
COF_0012461,57.597,43.497,39.933
COF_0012542,83.41,25.257,37.321
COF_0012598,33.788,67.856,30.017
COF_0013031,97.077,87.743,76.317
COF_0013109,90.087,50.696,42.099
COF_0013186,77.407,95.398,40.075
COF_0013423,2.856,51.22,92.235
COF_0013756,88.66,96.524,94.285
COF_0013772,19.846,97.243,75.185
COF_0013827,12.989,33.315,95.991
COF_0013966,97.033,30.927,76.582
COF_0014013,80.149,45.871,16.534
COF_0014197,0.084,14.749,88.295
COF_0014233,30.128,8.038,23.618
COF_0014234,20.332,9.017,24.473
COF_0014244,68.471,84.567,37.426
COF_0014279,47.734,34.471,47.08
COF_0014291,68.679,69.878,91.283
COF_0014300,66.844,83.135,70.622
COF_0014371,76.306,9.582,12.85
COF_0014452,76.304,13.353,77.326
COF_0014454,89.802,81.979,73.037
COF_0014511,42.459,39.385,7.166
COF_0014531,48.831,74.043,58.643
COF_0014769,22.169,60.852,76.784
COF_0014799,36.913,33.985,82.324
COF_0014813,61.057,75.168,91.459
COF_0014926,64.558,13.808,18.797
COF_0014939,21.123,43.54,33.959
COF_0015001,65.404,42.571,28.496
COF_0015078,38.682,82.128,3.483
COF_0015139,95.851,42.174,16.354
COF_0015232,68.234,83.423,46.492
COF_0015233,8.264,68.607,10.141
COF_0015235,86.247,80.355,1.222
COF_0015239,31.903,57.468,38.399
COF_0015254,45.469,48.614,95.992
COF_0015305,40.17,77.136,30.295
COF_0015714,25.865,63.412,60.364
COF_0015731,80.242,45.027,37.283
COF_0015825,47.355,33.506,53.502
COF_0015826,36.486,78.549,98.073
COF_0015836,53.171,38.347,67.472
COF_0015837,15.039,33.712,93.418
COF_0015929,59.015,19.761,81.284
COF_0016131,72.763,45.499,4.854
COF_0016282,28.171,12.155,48.962
COF_0016670,36.71,88.917,68.639
COF_0016691,25.233,33.746,29.614
COF_0016729,81.917,54.275,17.873
COF_0016768,35.689,1.752,32.463
COF_0016920,63.598,59.578,35.724
COF_0016949,3.661,73.868,24.863
COF_0017072,8.405,9.457,72.679
COF_0017101,63.292,43.11,27.47
COF_0017126,97.185,68.899,24.41
COF_0017248,82.557,83.492,73.269
COF_0017402,52.356,45.842,7.654
COF_0017516,37.28,14.675,97.684
COF_0017526,63.781,88.204,38.191
COF_0017527,98.027,7.876,92.744
COF_0017629,74.927,42.253,2.238
COF_0017658,95.036,25.686,65.29
COF_0018067,88.293,83.685,43.344
COF_0018158,11.643,19.164,26.098
COF_0018196,30.32,51.404,85.424
COF_0018212,24.375,79.895,37.424
COF_0018264,47.292,76.072,43.695
COF_0018278,74.687,77.831,27.685
COF_0018395,67.144,60.462,90.975
COF_0018958,67.821,27.268,40.718
COF_0018959,1.872,41.432,12.977
COF_0018961,26.705,59.908,97.59
COF_0018987,31.816,22.132,1.807
COF_0018988,32.461,6.372,28.783
COF_0018989,71.203,82.697,58.791
COF_0019355,63.477,32.875,38.904
COF_0019359,92.987,1.257,34.06
COF_0019365,34.637,44.438,46.195
COF_0019441,74.257,21.064,69.773
COF_0019689,67.299,25.569,3.227
COF_0019747,85.229,96.772,63.138
COF_0019748,56.133,34.53,20.755
COF_0020079,98.487,36.919,29.182
COF_0020148,31.534,67.45,2.956
COF_0020191,62.486,16.673,35.163
COF_0020233,43.153,99.583,2.341
COF_0020234,97.336,55.644,49.076
COF_0020235,23.472,92.118,13.17
COF_0020459,60.712,84.967,9.698
COF_0020460,21.831,99.213,57.075
COF_0020560,17.862,15.912,77.752
COF_0020570,73.446,40.112,40.852
COF_0020722,75.128,41.818,59.925
COF_0020854,31.94,36.317,10.564
COF_0020882,88.476,96.024,76.175
COF_0021297,31.778,53.563,39.217
COF_0021645,85.906,49.483,46.391
COF_0021759,82.614,44.946,92.391
COF_0021767,17.763,28.841,53.267
COF_0022082,33.405,46.402,17.227
COF_0022102,90.728,38.335,65.31
COF_0022149,97.425,41.029,63.642
COF_0022235,61.888,13.857,61.992
COF_0022435,99.891,59.957,73.215
COF_0022611,94.549,32.502,24.994
COF_0022637,56.931,47.191,9.097
COF_0022888,37.03,74.297,88.351
COF_0023034,65.412,55.206,86.344
COF_0023289,85.031,16.138,36.906
COF_0024050,87.465,17.521,93.714
COF_0024062,92.139,32.272,29.298
COF_0024630,89.445,20.701,46.118
COF_0024804,24.505,60.325,98.971
COF_0024837,79.675,97.281,50.021
COF_0024841,11.116,60.401,33.126
COF_0024959,92.016,15.927,46.221
COF_0025257,96.247,0.688,3.232
COF_0025280,67.687,86.706,99.553
COF_0025329,86.217,7.037,41.709
COF_0025460,26.003,71.598,12.098
CUC_0000030,77.66,64.709,53.417
CUC_0000031,2.372,48.081,72.603
CUC_0000341,29.296,39.84,82.232
CUC_0000387,76.876,36.337,71.662
CUC_0000388,51.156,64.963,42.859
CUC_0000389,12.406,14.598,26.25
CUC_0000390,82.523,75.358,11.178
CUC_0000391,16.895,41.289,33.983
CUC_0000870,91.297,79.555,21.008
CUC_0000871,9.713,64.204,7.407
CUC_0000872,89.92,49.158,24.473
CUC_0000954,26.0,29.529,44.467
CUC_0000955,78.737,69.956,56.823
CUC_0000956,59.443,76.132,14.802
CUC_0001047,28.843,22.102,37.085
CUC_0001048,36.272,29.122,94.479
CUC_0001049,15.83,63.389,47.528
CUC_0001525,43.986,29.488,74.373
CUC_0001526,69.508,14.653,29.233
CUC_0001596,38.423,63.676,2.8
CUC_0001765,21.166,30.296,58.423
CUC_0001785,25.942,72.114,74.546
CUC_0001791,99.612,40.584,61.846
CUC_0001834,17.041,34.421,15.588
CUC_0001835,85.261,31.43,37.436
CUC_0001836,86.541,48.525,16.912
CUC_0001837,52.524,17.539,89.713
CUC_0001867,1.423,94.695,34.237
